param_model__max_depth,param_model__min_samples_leaf,param_model__n_estimators,mean_test_score,std_test_score,rank_test_score
12,1,100,-0.5380281279090477,0.022646042325719245,8
12,1,180,-0.5372699430353983,0.02365124940830209,7
12,3,100,-0.5364973616008923,0.020322429433840633,6
12,3,180,-0.535991169863793,0.021650145581459796,5
18,1,100,-0.5275067617575658,0.021536561263976642,2
18,1,180,-0.5266842096073961,0.023308846846393345,1
18,3,100,-0.529165709865653,0.019908735831977487,4
18,3,180,-0.5284594513395536,0.021278724481142767,3
