bucket,rows,f1,precision,recall
1,45.0,0.3157894736842105,0.42857142857142855,0.25
2,193.0,0.43037974683544306,0.53125,0.3617021276595745
3,616.0,0.627906976744186,0.7714285714285715,0.5294117647058824
4,1306.0,0.628158844765343,0.71900826446281,0.5576923076923077
5,1678.0,0.6437086092715232,0.788961038961039,0.5436241610738255
6,2107.0,0.6480186480186481,0.7700831024930748,0.5593561368209256
7,2154.0,0.6781376518218624,0.7863849765258216,0.5960854092526691
8,1977.0,0.6659012629161883,0.7945205479452054,0.5731225296442688
9,1688.0,0.6136363636363636,0.7224080267558528,0.5333333333333333
10,1493.0,0.6116504854368932,0.6948529411764706,0.546242774566474
11,1271.0,0.5911708253358925,0.7264150943396226,0.49838187702265374
12,1145.0,0.6218809980806143,0.7043478260869566,0.5567010309278351
13,1060.0,0.6531440162271805,0.7285067873303167,0.5919117647058824
14,911.0,0.5848563968668408,0.7044025157232704,0.5
15,753.0,0.5419354838709678,0.6666666666666666,0.45652173913043476
16,435.0,0.586046511627907,0.7411764705882353,0.4846153846153846
17,269.0,0.48333333333333334,0.6304347826086957,0.3918918918918919
18,111.0,0.5490196078431373,0.7368421052631579,0.4375
19,34.0,0.625,0.8333333333333334,0.5
20,22.0,0.4444444444444444,0.4,0.5
21,11.0,0.75,0.75,0.75
22,1.0,0.0,0.0,0.0
24,4.0,0.0,0.0,0.0
25,1.0,0.0,0.0,0.0
