threshold,precision,recall,f1,predicted_positive_rate
0.1,0.511340206185567,0.9841269841269841,0.6729986431478969,0.48306772908366535
0.125,0.5474613686534217,0.9841269841269841,0.7035460992907802,0.45119521912350596
0.15000000000000002,0.578088578088578,0.9841269841269841,0.7283406754772394,0.42729083665338646
0.17500000000000002,0.5890736342042755,0.9841269841269841,0.736998514115899,0.41932270916334663
0.2,0.6093366093366094,0.9841269841269841,0.7526555386949925,0.40537848605577687
0.225,0.6231155778894473,0.9841269841269841,0.7630769230769231,0.39641434262948205
0.25,0.6391752577319587,0.9841269841269841,0.775,0.38645418326693226
0.275,0.643979057591623,0.9761904761904762,0.7760252365930599,0.3804780876494024
0.30000000000000004,0.6595174262734584,0.9761904761904762,0.7872,0.3715139442231076
0.325,0.6712707182320442,0.9642857142857143,0.7915309446254072,0.3605577689243028
0.35,0.6761363636363636,0.9444444444444444,0.7880794701986755,0.350597609561753
0.375,0.6820809248554913,0.9365079365079365,0.7892976588628763,0.34462151394422313
0.4,0.688622754491018,0.9126984126984127,0.7849829351535836,0.33266932270916333
0.42500000000000004,0.6934984520123839,0.8888888888888888,0.7791304347826087,0.32171314741035856
0.45000000000000007,0.7055016181229773,0.8650793650793651,0.7771836007130125,0.30776892430278885
0.475,0.72,0.8571428571428571,0.782608695652174,0.29880478087649404
0.5,0.7361111111111112,0.8412698412698413,0.7851851851851852,0.2868525896414343
0.525,0.7391304347826086,0.8095238095238095,0.7727272727272727,0.2749003984063745
0.55,0.7547892720306514,0.7817460317460317,0.7680311890838206,0.2599601593625498
0.5750000000000001,0.7764227642276422,0.7579365079365079,0.7670682730923695,0.2450199203187251
0.6,0.7869565217391304,0.7182539682539683,0.7510373443983402,0.2290836653386454
0.625,0.8046511627906977,0.6865079365079365,0.7408993576017131,0.21414342629482072
0.65,0.8059701492537313,0.6428571428571429,0.7152317880794702,0.20019920318725098
0.675,0.7947368421052632,0.5992063492063492,0.6832579185520362,0.1892430278884462
0.7000000000000001,0.7978142076502732,0.5793650793650794,0.671264367816092,0.18227091633466136
0.725,0.8,0.5396825396825397,0.6445497630331753,0.1693227091633466
0.75,0.802547770700637,0.5,0.6161369193154034,0.15637450199203187
0.775,0.7832167832167832,0.4444444444444444,0.5670886075949367,0.14243027888446216
0.8,0.7833333333333333,0.373015873015873,0.5053763440860215,0.11952191235059761
0.8250000000000001,0.8395061728395061,0.2698412698412698,0.4084084084084084,0.08067729083665338
0.85,0.8958333333333334,0.17063492063492064,0.2866666666666667,0.04780876494023904
0.875,0.9285714285714286,0.10317460317460317,0.18571428571428572,0.027888446215139442
0.9,0.8888888888888888,0.06349206349206349,0.11851851851851852,0.017928286852589643
