feature,importance
dense_oof_decision,0.1864636351720384
v1_style_dense_oof_probability,0.14811665818174088
char_tfidf_cosine,0.10792417273797322
category_overlap,0.07168937666552565
word_tfidf_cosine,0.0708712396236943
jaccard,0.05085715868062262
query_coverage,0.0457823947346223
category_train_frequency,0.03569825390756808
brand_code,0.03514478329382765
category_code,0.03227503851394881
char_length_ratio,0.031020895262207807
brand_train_frequency,0.02963708824303917
query_train_frequency,0.01751879685788044
intersection,0.016406029894531177
gender_code,0.015513696807567796
brand_mention,0.014782662748941912
union,0.014403001455008974
length_difference,0.01369652708008795
title_coverage,0.013567846221422849
query_in_title,0.013528021668302276
title_words,0.012030851037912649
query_words,0.010288213315919816
age_group_code,0.009152936005530911
attributes_overlap,0.00348759028964206
item_id_train_frequency,0.00013622001856395145
title_in_query,6.911581878246647e-06
category_missing,0.0
age_group_missing,0.0
gender_missing,0.0
brand_missing,0.0
exact_match,0.0
