seed,variant,hard_rows,precision,recall,f1,pr_auc,roc_auc,log_loss,brier,ece
42,original,10590,0.7399665551839465,0.5500310752019888,0.6310160427807486,0.7288926575746363,0.9159635115236643,0.3295403307269024,0.10457177463517126,0.05871922524920107
42,weighted,10590,0.7966963151207116,0.3896830329397141,0.5233722871452421,0.7235296932278972,0.9103608697808149,0.3622643794045278,0.11819727308108109,0.08266200334062188
42,enriched,10590,0.8226415094339623,0.2709757613424487,0.40766713417484807,0.7314763207712978,0.9185676515945067,0.3714375595320527,0.12396714810326658,0.09536766370250063
42,weighted_enriched,10590,0.8228882833787466,0.18769422001243008,0.305668016194332,0.718559916108813,0.9053258380430117,0.42074764187905944,0.13979701740483816,0.11941951240647608
52,original,9749,0.7735042735042735,0.5061925689172992,0.61192948563149,0.7667661799618882,0.9269903096267074,0.3138763513789401,0.09818539650893761,0.06933511812622503
52,weighted,9749,0.8196286472148541,0.24690371554135038,0.3794903285231808,0.7654068870437715,0.930930974338937,0.35363084682801066,0.11906569104726318,0.10213479404004372
52,enriched,9749,0.8532695374800638,0.2137435077906512,0.34185303514376997,0.7679716249542005,0.9268545531014901,0.36331192698258247,0.12141751680880825,0.10467569230981962
52,weighted_enriched,9749,0.8802816901408451,0.0998801438274071,0.17940437746681018,0.7469121263936378,0.909420842198115,0.4121302910773476,0.13949318326984447,0.11907819721398306
62,original,9991,0.7555135475740391,0.5809108527131783,0.6568063544234456,0.7123077484590676,0.891861689043641,0.351715378289482,0.10706141649726605,0.07043068782011791
62,weighted,9991,0.7940161104718066,0.33430232558139533,0.47050801227412203,0.7028411203273104,0.884793508528087,0.3787728841894776,0.12015418732196603,0.07932876561718488
62,enriched,9991,0.7841140529531568,0.37306201550387597,0.505581089954038,0.6981778302050953,0.8848524660046713,0.37613575952965783,0.11891470390629588,0.08107947226948303
62,weighted_enriched,9991,0.7554347826086957,0.06734496124031007,0.12366548042704627,0.716566687544106,0.8943772329211384,0.44817469270378757,0.14980775060916782,0.13023929403739876
72,original,10785,0.7802746566791511,0.41145490454246214,0.5387931034482759,0.7347816039294908,0.9290781934191723,0.3243087618594034,0.10682179137889025,0.08711833005579875
72,weighted,10785,0.80625,0.3396971691902567,0.4779990736452061,0.7235989282821724,0.9183408216733556,0.36393468962132774,0.12002978445288327,0.0987731725504711
72,enriched,10785,0.790625,0.33311389071757735,0.4687355257063455,0.7158747820998976,0.9145722846204143,0.36298897927645435,0.11932144656781508,0.09538127912378574
72,weighted_enriched,10785,0.7025316455696202,0.07307439104674128,0.13237924865831843,0.7171190644925228,0.9154861183051901,0.4528559721664916,0.15415856438914863,0.14280103040265243
82,original,10401,0.7471466198419666,0.574611748818366,0.649618320610687,0.7433724368860793,0.9156966361557854,0.3241409507527285,0.10150704345493827,0.05558098298521898
82,weighted,10401,0.7908847184986595,0.3983794733288319,0.5298607992815447,0.7400236346275343,0.9146767100852178,0.35174221989083004,0.11506678156816115,0.08449713810110454
82,enriched,10401,0.7986870897155361,0.24645509790681971,0.3766769865841073,0.7514716179033979,0.9259529617395925,0.359875794142453,0.12135960831415583,0.09631022413981485
82,weighted_enriched,10401,0.7993079584775087,0.15597569209993248,0.26101694915254237,0.7221741258978028,0.9023757528146454,0.40705792918849637,0.1360286958338585,0.10783208502632105
