model,seeds,delta_mean,delta_std,delta_ci95_low,delta_ci95_high
hard_negative_enriched,5,-0.0047930682698800395,0.009064002070264247,-0.016045709066242374,0.0064595725264822955
hard_negative_original,5,-0.0016961642879339,0.003515294863326384,-0.006060279618410233,0.002667951042542433
hard_negative_weighted,5,-0.0028803918512368795,0.007692345112666319,-0.012430168623514683,0.0066693849210409245
hard_negative_weighted_enriched,5,-0.00677525979323598,0.0033875004288369537,-0.010980722813624978,-0.0025697967728469827
persisted_v1_reference,5,0.0035888984357039396,0.003298868772756102,-0.0005065314909883495,0.007684328362396228
random_forest,5,-0.0070258973742647005,0.00863142228082713,-0.017741505527809023,0.0036897107792796223
rank_map,5,-0.0026287080065938604,0.009887772738241369,-0.014904031206762813,0.00964661519357509
rank_ndcg_mean,5,-0.0063462868754353,0.009518959779416457,-0.01816374171739686,0.005471167966526261
rank_ndcg_topk,5,-0.007469119918143159,0.012795481318544868,-0.02335426137971748,0.008416021543431164
rank_pairwise,5,-0.0026589689832365996,0.006235534740141657,-0.010400166752182721,0.005082228785709521
