model,seeds,ndcg@10_mean,ndcg@10_std,ndcg@10_ci95_low,ndcg@10_ci95_high,mrr_mean,mrr_std,mrr_ci95_low,mrr_ci95_high,recall@10_mean,recall@10_std,recall@10_ci95_low,recall@10_ci95_high
hard_negative_enriched,5,0.8662480863221027,0.01699913872355929,0.8451442515677744,0.887351921076431,0.9001920634920635,0.02758688169808497,0.8659439170294003,0.9344402099547267,0.7761732276952434,0.013298472653785762,0.7596636401252865,0.7926828152652003
hard_negative_original,5,0.869344990304049,0.014837658159534792,0.8509245578908432,0.8877654227172548,0.8963212121212122,0.01465963079422387,0.8781217944405978,0.9145206298018266,0.777673056465486,0.019078305422741096,0.7539880091474045,0.8013581037835675
hard_negative_weighted,5,0.8681607627407459,0.01835770959907382,0.8453703098744562,0.8909512156070357,0.8991031746031746,0.018971669015815453,0.875550512645737,0.9226558365606121,0.7775788536259366,0.0176739576766278,0.7556372547997786,0.7995204524520946
hard_negative_weighted_enriched,5,0.8642658947987467,0.01600892900646194,0.8443913706925391,0.8841404189049543,0.8981828738512949,0.02086220866946482,0.8722831731940774,0.9240825745085124,0.7741073727601735,0.017729925849609092,0.7520962914094415,0.7961184541109055
leakage_safe_lexical_baseline,5,0.8710411545919827,0.014498729923320543,0.8530414897015884,0.889040819482377,0.9059247863247863,0.01266817672118253,0.8901976890576793,0.9216518835918934,0.7764588551202392,0.017569892226952488,0.7546464499014337,0.7982712603390446
persisted_v1_reference,5,0.8746300530276867,0.016860325211870107,0.8536985503814726,0.8955615556739008,0.9087222222222222,0.019588356329812463,0.8844039645848314,0.933040479859613,0.7772387704224728,0.017820519775050437,0.755115219889428,0.7993623209555176
random_forest,5,0.8640152572177181,0.018901532695059675,0.8405496670435971,0.8874808473918391,0.9035803825803826,0.014659015805730218,0.8853817283864223,0.921779036774343,0.7753303642763313,0.016946003156537187,0.7542924954655869,0.7963682330870757
rank_map,5,0.8684124465853887,0.018172238117646417,0.8458522500608664,0.8909726431099111,0.9053285381285381,0.017821807629471567,0.8832033887693801,0.9274536874876961,0.7775035387738312,0.015855132533444487,0.7578199475969408,0.7971871299507215
rank_ndcg_mean,5,0.8646948677165474,0.019361688554690733,0.840658010175249,0.8887317252578457,0.8979889233954452,0.021203754695848,0.8716652053206982,0.9243126414701922,0.7771662103237473,0.014861723419839207,0.758715901733575,0.7956165189139197
rank_ndcg_topk,5,0.8635720346738397,0.024348475247477505,0.8333442562846632,0.8937998130630161,0.899601554001554,0.024089628461604083,0.8696951248221578,0.9295079831809501,0.7740786496588166,0.01787146775627207,0.7518918489932648,0.7962654503243684
rank_pairwise,5,0.8683821856087462,0.014596244783340305,0.8502614594384005,0.886502911779092,0.9034619047619048,0.017255299228756467,0.8820400557210778,0.9248837538027318,0.7784112339245981,0.014493929949369487,0.7604175280335823,0.7964049398156139
