segment,method,recall@50_mean,recall@50_count,recall@100_mean,recall@100_count,mrr_mean,mrr_count,ndcg@10_mean,ndcg@10_count
age_specific,bm25_enriched_k1.2_b0.75,0.8440178177020281,39,0.8945859511648985,39,0.6743308434484905,39,0.5820606924395442,39
age_specific,tfidf_combined_enriched,0.7952554492028175,39,0.908338572812257,39,0.5874005178222046,39,0.514872316205239,39
brand_query,bm25_enriched_k1.2_b0.75,0.9286627354476911,186,0.9666481943432541,186,0.817675868556001,186,0.7756063664026336,186
brand_query,tfidf_combined_enriched,0.9126976797511734,186,0.959847500574391,186,0.7965413156138962,186,0.7459375392577974,186
category_query,bm25_enriched_k1.2_b0.75,0.8138723842574275,521,0.8760633822470587,521,0.7393356192135097,521,0.6461830232126702,521
category_query,tfidf_combined_enriched,0.8196836255916348,521,0.890290531446902,521,0.701488587933996,521,0.6025091419613429,521
gender_specific,bm25_enriched_k1.2_b0.75,0.7816458915689908,77,0.8554891620553616,77,0.7107452071737786,77,0.5946675113413291,77
gender_specific,tfidf_combined_enriched,0.7575354077326355,77,0.8435793124353237,77,0.6722781187066902,77,0.5380694478381691,77
long_query,bm25_enriched_k1.2_b0.75,0.8839570645260455,129,0.9283358955612351,129,0.7917011796613029,129,0.7080371853514617,129
long_query,tfidf_combined_enriched,0.8661816106131425,129,0.9281086229946736,129,0.7272059902661151,129,0.6421639787365594,129
medium_query,bm25_enriched_k1.2_b0.75,0.8605518944389812,255,0.9150888069242866,255,0.749833154630095,255,0.655907498894853,255
medium_query,tfidf_combined_enriched,0.8527806526261216,255,0.9132993044045495,255,0.7198387008476655,255,0.6249327557414268,255
number_or_model_code,bm25_enriched_k1.2_b0.75,0.8897163120567375,47,0.9095744680851063,47,0.6031661600810537,47,0.6004484101892941,47
number_or_model_code,tfidf_combined_enriched,0.8570921985815603,47,0.875531914893617,47,0.5623008954986427,47,0.5450555536312934,47
rare_token,bm25_enriched_k1.2_b0.75,0.8178619986189158,688,0.8689076313653908,688,0.7299978117426296,688,0.6466047229789571,688
rare_token,tfidf_combined_enriched,0.8342346154906566,688,0.8993137643961079,688,0.6960626827298765,688,0.6200207860276998,688
short_query,bm25_enriched_k1.2_b0.75,0.7336639746407545,366,0.7904372354721027,366,0.6672164266332862,366,0.59034299389656,366
short_query,tfidf_combined_enriched,0.7752256077281319,366,0.8521755402551182,366,0.6493685716219686,366,0.574390343668447,366
